"","Recorded_Date","Participant_ID","Lunch_SUD_Change","First_Patient","Tom_Actor_Name","Tom_Actor_Race","Freddie_Actor_Name","Tech_Difficulties","Pre_Debrief_Suspicion","Additional_Considerations","Tech_Difficulties_Order","Freddie_Actor_Race"
"65","2022-05-04 11:57:56","MI0934BL","no","FREDDIE","VID","(WHITE)","KORVUS","FREDDIE","1. no 2. two patients were both a little reluctant to get medical health and both advised by someone else to be seen by a provider. 3. how physician stress level affects diagnosis capability or ability to ask questions and get information from patients with different attitudes. (she didn't mention anything about race; i don't think she knew the true purpose)","","First","(BLACK)"
"66","2022-05-04 13:30:44","KA11KEBL","no","FREDDIE","DAVID","(BLACK)","VID","FREDDIE","1. no 2. both patients hadn't had care in a while and there seemed to be a lack of trust in the healthcare system 3. physican bias especially revolving covid and being unvaccinated. theres a lot of physician burnout and resentment towards patients who are not vaccinated and this might negatively impact the quality of care. (i do not think they knew the true study purpose, they made no mention of race though they did discuss other biases)","tom was not supposed to have tech issues but his audio stopped working for a little bit towards the end. additionally there was a lot of confusion from the actors. vid had the wrong instructions written down and we were able to figure it out privately but the provider was waiting for a while for him to join the call. additionally the actor for tom did not show up and an alternate was used. ","First","(WHITE)"
"67","2022-05-07 12:03:28","MA10AIBL","No, they answered 35 which is in range","FREDDIE","BILL","(WHITE)","RICHARD","FREDDIE","1. No 2. Interested in middle-aged elderly men, tech difficulties, racial identity, racial stereotypes (fried chicken), Tom being confused. 3. Increased anxiety decreases level of care","Tom also acted out tech difficulties when he was not prompted to. ","First","(BLACK)"
"68","2022-05-07 13:59:37","CL0328BR","No, they answered 16 which is in range","TOM","BILL","(WHITE)","RICHARD","TOM","1. The chart is confusing when compared to EPIC and other charting systems because of the inability to interact and the obvious photoshop. 2. Tech difficulties, racial component, diabetes management (chronic disease management for black patients) 3. How stress levels prior to encounter affect patient care and how it interplays with race. Certain things that occur during encounter will increase stress like tech difficulties, etc. ","Freddy had poor wifi connection which caused some glitching and his mic to stop functioning momentarily at the beginning of the interaction. ","First","(BLACK)"
"69","2022-05-09 11:57:58","MA01MABL","no","TOM","VID","(WHITE)","KORVUS","FREDDIE","1. no 2. how providers are able to connect and build a relationship with patients as well as ability to come up with a treatment plan that works for everyone. both patients were told to come by significant others which can make it hard to connect 3. how comfortable both the provider and the patient are is dependent on the provider and their ability to make a connection and make them comfortable. (i do not think she knew the true purpose, she did not mention anything about race or demographics)","","Second","(BLACK)"
"70","2022-05-09 14:02:03","LO05HYBR","no","TOM","KORVUS","(BLACK)","VID","FREDDIE","1. no 2. Tom's case had an element of covid vaccine hesitancy. in general both patients were reluctant to receive care. freddy had a more chronic condition and expressed distress after poor experiences with a previous provider 3. stress can have impacts on provider care over telehealth. she noted that for her, talking and helping patients is actually destressing. (I don't think she knew the true purpose, she didn't mention race) ","No, one thing to note is that the provider mentioned she's really stressed overall right now -- her partner is getting fired -- so her baseline stress is already very high","Second","(WHITE)"
"71","2022-05-09 17:39:49","AN04DIBR","No, participant answered 30 which is in range","FREDDIE","BILL","(WHITE)","RICHARD","TOM","1. Not in general, more background information would be helpful like clinic location. 2. Older male population. 3. It is effective for providers to administer telehealth to older adults, but inconvenient for new patients. ","Freddy's connection dropped for 1 minute during the interaction. Participant had poor internet connection.","Second","(BLACK)"
"72","2022-05-10 20:18:37","FI11VABR","No","TOM","DAVID","(BLACK)","BILL","FREDDIE","1. Everything was pretty clear. Was unsure about physical examination. 2. patient 1 was a bit more reserved than patient 2; both believed to have underlying things that need to be uncovered; 1st patient was not really willing to accept care as compared to patient 2 3. Personality of the physician has an impact on care and getting patients to willingly do things. ","The participant asked me a lot of questions in regards to the smoothies portion. They felt it was hard to interpret some of the questions because they identify as black. (Maybe the questions are framed to suit a white audience more? That was the perception that it seems the participant got.) ","Second","(WHITE)"
"73","2022-05-11 12:30:14","AN11RYBR","no","FREDDIE","VID","(WHITE)","DAVID","TOM","1. no 2. first patient (david - freddy) was very limited and short in his responses, so provider really had to dig for information. Researchers likely interested in provider communication skills and ability to connect with patient and get their story 3. If a provider is experiencing greater stress, they won't ask important questions which can deter from their ability to provide the best treatment recommendations. ","no","Second","(BLACK)"
"74","2022-05-11 13:31:09","X04XBR","no","FREDDIE","DAVID","(BLACK)","VID","TOM","1. no 2. one patient was much more talkative and outgoing. there was an element of covid vaccine hesitancy. 3. studying how stress levels are impacted by the time you get to the second patient, stress during a visit is impacted by your mood going into the visit, more years of experience minimize stress of provider. perhaps telemedicine visits are more stress inducing.","no","Second","(WHITE)"
"75","2022-05-13 17:35:34","GR05XBR","No","TOM","JIM","(WHITE)","DAVID","TOM","1. Everything was clear 2. First patient; maybe someone who is not good with technology, minimizes their symptoms and is not getting regular preventative care 3. providers with higher rates of anxiety may suggest more questions per visit  ","Participant couldn't open charts (fixed through screensharing). For the final surveys, there was a problem with the participants computer and qualtrics let the participant know that they would be skipped forward. They were skipped to the affidavit page, I would personally deem this study unusable. ","First","(BLACK)"
"76","2022-05-14 11:48:04","X10XBR","No, they answered 50 which is in range","FREDDIE","DAVID","(BLACK)","BILL","FREDDIE","1. No. 2. Tech difficulties and personality differences (warm vs. cold). 3. Providers will be more anxious with certain patients based on presentation and personality. ","I had to switch the planned order of Tom and Freddy due to David being late. ","First","(WHITE)"
"77","2022-05-14 13:33:25","EL09LABL","No, they answered 15 which is in range","TOM","DAVID","(BLACK)","BILL","FREDDIE","Everything clear. 2. Tech difficulties and older men. 3. No hypothesis guess","Tom had unplanned tech difficulties","Second","(WHITE)"
"78","2022-05-16 18:42:54","X03COHA","Participant originally answered with a 2 and after discussing she changed it to a 10","TOM","DAVID","(BLACK)","JIM","TOM","1.Everything clear. 2.Quiet vs talkative patients, race,  both older men, access to care (limited chart/health history) 3.  Providers are more stressed working with patients who have a plethora of health issues & Does stress change based on the race of the patient.","No","First","(WHITE)"
"79","2022-05-17 18:16:09","TH07KEHA","No","TOM","DAVID","(BLACK)","BILL","TOM","1. Everything was clear. 2. Freddy (second patient) and their responses. Lack of desire to change diet. First patient (Tom) seemed withdrawn. 3. Hypothesized that providers would have more stress with patients who are not as understanding. Expect providers to experience more stress with technology in general. ","Nothing odd occurred! ","First","(WHITE)"
"80","2022-05-17 20:06:23","JE07XBL","No","FREDDIE","DAVID","(BLACK)","BILL","FREDDIE","1. Everything was clear. The patients were very different in regards to complaints and interactions. 2. Difference between young versus old and how people use zoom. Is it chronic management or an acute concern? Healthy patient versus a sick patient. Black patient versus a white patient. 3. First patient was a lot more complex; so see how that affects provider anxiety going into the next patient. The second patient had short responses, which made things more difficult. Personality types were very different, so provider believes we are studying how providers interact with different personalities. He believes we could be studying age and race. ","Before the interactions, the participant reported a 40 but then claims he is feeling less stressed than 40 after establishing his anchors. I told him to continue with the anchors he has established. Bill (playing Freddy) began to bring up medications that he claims he has seen on TV, not sure if this was a part of the script. ","First","(WHITE)"
"81","2022-05-21 14:02:52","AN0127BL","No, they answered 42 which is in range","FREDDIE","BILL","(WHITE)","RICHARD","FREDDIE","1. No, everything is clear. 2. Patient personality, agreeable vs not. 3. If providers have expectations for a visit being a certain way it may impact how they approach the visit.","No","First","(BLACK)"
"82","2022-05-23 12:52:49","TH04FLBR","no","FREDDIE","VID","(WHITE)","DAVID","TOM","1. no. she liked the patient charts and found the objective clear and easy to understand 2. nothing stood out 3. how providers feel in moment and if that affects the questions they ask patients and the overall interaction","The participant didn't actually discuss treatment with the patients -- she just talked to them about their complaints before telling them they were free to leave","Second","(BLACK)"
"83","2022-05-23 13:24:50","KU01SOBR","no","FREDDIE","VID","(WHITE)","DAVID","FREDDIE","1. she got confused about it being a Telehealth visit and in her first interaction mentioned physical exams 2. differences in personality. freddy was very apathetic and tom was nonchalant but friendly. differences in the chart/visit intention. freddy's chart had more general info but was a visit about a specific problem while tom's chart was bare but he needed a general check-up. 3. greater stress leads to less accurate patient treatment ","","First","(BLACK)"
"84","2022-05-23 18:33:42","XI0619BR","Yes, they originally answered 10 and changed it to 25 after talking","TOM","RICHARD","(BLACK)","JIM","FREDDIE","Everything clear. 2. Unvaccinated, chronic disease (diabetes), tech difficulties. 3. Providers are more stressed during telehealth visits after tech difficulties. ","I had to switch the assigned order of patients because Jim was late. ","Second","(WHITE)"
"85","2022-05-24 20:19:20","DE05CABR","No","FREDDIE","BILL","(WHITE)","DAVID","FREDDIE","1. Everything was clear. 2. First patient: the presentation of the patient having chronic issues as well as low health literacy. Both patients had interesting personalities - both of them were restricted or reserved. 3. Patient personality or compliance might affect provider attitude or feelings at that time. ","Nothing odd","First","(BLACK)"
"86","2022-05-25 13:49:20","X04XGR","no","TOM","DAVID","(BLACK)","VID","TOM","1. no 2. didn't really think about it; the last patient seemed to have some negative history with previous physicians so maybe looking at how the provider addresses that and reassures the patient. 3. if provider is in higher stress state they might have less empathy and patience with the patient. ","no","First","(WHITE)"
"87","2022-05-28 12:03:09","AC04CAGR","Participant answered with a 10 after I explained different possible stressors at lunch","TOM","RICHARD","(BLACK)","JIM","TOM","1.Everything clear. 2. Tech difficulties, Tom mentioning a concerning symptom towards the end of symptom, COVID and vaccination, not updated screenings, increasing diabetes labs. 3. Provider stress level would increase with more patient interactions. ","Participant conducted study in their car, using their phone as the camera which was dimmed and they mentioned they couldn't tell that the first patient was black and a laptop for the survey which died during the implicit bias test. Participant had bad internet connection and I had to email them the study links.","First","(WHITE)"
"88","2022-05-29 14:22:32","LO0754BR","No","FREDDIE","DAVID","(BLACK)","JIM","FREDDIE","1. The instructions were vague about ending the exam and we weren't given a goal for the assessment. It was the participants first time doing virtual visits and there were slight technical difficulties (freddy being muted). 2. Patients knowing how to use zoom; Tom wasn't very engaged 3. See how different med students react to slightly stressful situations. The technical difficulty, and Tom only having very brief answers. ","Nothing odd happened.","First","(WHITE)"
"89","2022-05-30 17:14:46","MA0516BL","No, they answered 20 which is in range","TOM","RICHARD","(BLACK)","JIM","TOM","1. Everything clear. 2. Education vs. diagnosis visits, Chronic conditions, vaccine hesitancy. 3. How stress affects provider behavior in telemedicine vs in-person","The study was initially assigned to have Freddy be played by Richard and Tom by Jim, but I accidently sent the participant the wrong chart and didn't notice so the actors were switched for the patients.","First","(WHITE)"
"90","2022-06-04 13:00:36","WE0324GR","yes, but LOWERED it","FREDDIE","BILL","(WHITE)","RICHARD","TOM","1) Everything was clear 2) Tom was kind of difficult to manage because he did not want to be there and he had two things that we needed to cover in the session (guessing researchers are interested in that). Also, difficult to detect respiratory status online. First patient asked if he was dying, so researchers may want to see how I responded to that. 3) Lower stress will correlate to more patient centered communication styles.  ","At the beginning of the study, I believe she told me that her lunch score was a 3, but it is reflected as above 15 on qualtrics. Not sure if there was a mess up. ","Second","(BLACK)"
"91","2022-06-04 15:00:05","EL09FOHA","No","FREDDIE","BILL","(WHITE)","RICHARD","TOM","1) Consent was clear; the mixup of patients was confusing but it was fine, it kind of reflected real life. 2) Freddy had diabetes and was considered non-compliant and can be more challenging to work with. One of the patients was Black. Tom was more resistant to care and was not vaccinated. Hesitant to seek care. 3) Are certain personalities more correlated with better patient interactions.  ","Yes, Richard was supposed to play Tom but ended up coming in as Freddy. Participant did not get to view Freddy's chart. Both actors swapped roles. I dont think this session should be used in analysis. I think there was also a miscommunication about the surveys, I may have forgotten to tell her to move on - there was an issue where Shoe wasn't showing up for her. ","Second","(BLACK)"
"92","2022-06-06 17:00:31","JA03LIBR","No, they answered 15 which is in range","FREDDIE","BILL","(WHITE)","RICHARD","TOM","1.Everything clear. 2. Tech difficulties, receptive vs hesitant patients  3. A provider will have higher stress with patients who have worse tech capabilities and are less friendly. ","No","Second","(BLACK)"
"93","2022-06-07 19:40:10","LY02YEGR","No","FREDDIE","DAVID","(BLACK)","BILL","TOM","1) Everything was clear. 2) One patient was a lot more talkative than the other. 3) If providers feel more stressed they are going to have a more brief video call with a patient and not go into as much depth. ","Nothing odd happened during the study. ","Second","(WHITE)"
"94","2022-06-11 12:04:50","AL09PRBL","No, they answered 35 which is in range","TOM","RICHARD","(BLACK)","JIM","FREDDIE","1. Clear. 2. Race 3. How patients race effects how providers interact with patients and their stress levels","No","Second","(WHITE)"
